job_link,job_title,company_link,company
https://www.104.com.tw/job/6vytw?jobsource=landmarkPOC_C&landType=R,Data Quality Engineer,https://www.104.com.tw/company/1a2x6bi4ov?jobsource=jolist_c_relevance,美商網基股份有限公司台灣分公司
https://www.104.com.tw/job/6omb1?jobsource=landmarkPOC_C&landType=R,系統分析SA,https://www.104.com.tw/company/1a2x6bjp6x?jobsource=jolist_c_relevance,沛博科技股份有限公司
https://www.104.com.tw/job/6wipo?jobsource=jolist_c_relevance,資訊部門-AI工程師,https://www.104.com.tw/company/18n23328?jobsource=jolist_c_relevance,臺灣新光商業銀行股份有限公司
https://www.104.com.tw/job/6urf9?jobsource=jolist_c_relevance,資深NLP工程師/科學家,https://www.104.com.tw/company/1a2x6bkbyr?jobsource=jolist_c_relevance,圓祐資訊股份有限公司
https://www.104.com.tw/job/6aapr?jobsource=landmarkPOC_C&landType=R,Android Application Engineer,https://www.104.com.tw/company/1a2x6biwai?jobsource=jolist_c_relevance,沛星互動科技股份有限公司
https://www.104.com.tw/job/6fx51?jobsource=landmarkPOC_C&landType=R,Front-End Developer Intern 前端網頁開發工程師 實習,https://www.104.com.tw/company/18jl4v3s?jobsource=jolist_c_relevance,名留國際股份有限公司
https://www.104.com.tw/job/4wdr9?jobsource=landmarkPOC_C&landType=R,[KKLab] Data Scientist,https://www.104.com.tw/company/wca2vdk?jobsource=jolist_c_relevance,願境網訊股份有限公司_KKBOX
https://www.104.com.tw/job/6cuyz?jobsource=landmarkPOC_C&landType=R,AI電腦視覺工程師,https://www.104.com.tw/company/b0q0a94?jobsource=jolist_c_relevance,台泥企業團_臺泥資訊股份有限公司
https://www.104.com.tw/job/6y8fu?jobsource=jolist_c_relevance,Computer Vision Engineer (電腦視覺工程師),https://www.104.com.tw/company/1a2x6bl7sc?jobsource=jolist_c_relevance,喜耐思科技股份有限公司(籌備處)
https://www.104.com.tw/job/6xlcr?jobsource=landmarkPOC_C&landType=R,Staff Machine Learning Algorithm Engineer,https://www.104.com.tw/company/olmlwc8?jobsource=jolist_c_relevance,行動貝果有限公司
